62, -62.569298 3.608306 2.998247 1.873911 -0.058431 0.603908 -1.156669 0.840124 -1.036022 0.614092 -0.379328 0.437711 0.062722 0.40172 -0.03549 0.301796 -0.238224 0.301597 -0.227521 0.293794 0.043366 0.231264 0.258286 0.297852;
63, -61.225365 3.691094 3.458608 1.635782 -0.477861 0.747035 -1.457714 0.843174 -1.116292 0.645205 -0.427909 0.488088 -0.044671 0.478385 -0.12719 0.395788 -0.32738 0.354697 -0.355505 0.364296 -0.055273 0.33406 0.21166 0.294171;
64, -64.928963 0.903091 1.851596 0.591941 0.128149 0.211836 -0.994379 0.416119 -1.040761 0.359875 -0.426968 0.320857 0.042819 0.310142 0.039086 0.18341 -0.129272 0.213331 -0.11146 0.235208 0.095029 0.207429 0.190536 0.153317;
65, -62.484955 6.059866 2.636531 2.701159 -0.251543 0.969878 -0.605277 0.95698 -0.695667 1.043738 -0.397604 0.674651 -0.008196 0.420181 -0.084468 0.397332 -0.133853 0.381964 -0.141148 0.35364 -0.055304 0.273536 0.115355 0.286789;
66, -64.883125 3.816684 1.688353 2.047585 0.265289 0.658171 -0.117447 0.488955 -0.232802 0.649681 -0.10673 0.352365 0.09664 0.277878 0.06222 0.284171 -0.026994 0.227442 -0.136912 0.25358 -0.182804 0.28564 -0.080327 0.183728;
67, -62.372574 5.000084 2.952772 2.335757 0.009559 1.080896 -0.593366 0.855595 -0.702865 0.739985 -0.451993 0.536783 0.019339 0.424588 0.025248 0.347535 -0.090396 0.270199 -0.12188 0.256297 -0.07399 0.247505 0.036794 0.217393;
68, -66.485283 1.864945 0.555354 0.777144 -0.073499 0.395315 -0.110153 0.380015 -0.16818 0.378791 -0.020846 0.213828 0.159439 0.234766 0.07076 0.102916 0.001708 0.134345 0.036959 0.116311 0.049096 0.128208 0.060371 0.122623;
69, -65.332527 1.901356 1.624699 1.278105 0.365262 0.464324 -0.343308 0.571558 -0.383093 0.465993 -0.072519 0.258836 0.114936 0.275849 0.010806 0.250678 -0.136327 0.2613 -0.126091 0.205479 -0.011372 0.160012 0.053739 0.137628;
70, -63.866997 3.180692 2.437736 1.869479 0.419775 0.573687 -0.347667 0.599139 -0.416883 0.517803 -0.158788 0.389649 0.106894 0.303636 0.005351 0.277523 -0.189759 0.335 -0.130503 0.258916 0.051791 0.192432 0.107347 0.168206;
71, -66.576347 0.473025 0.780659 0.353376 0.338272 0.215675 0.156629 0.174297 0.078516 0.161951 0.055835 0.143099 0.040676 0.097907 0.011993 0.059271 0.009561 0.08069 0.04187 0.101892 0.076142 0.094139 0.06942 0.058759;
